segment_id,street,start_latitude,start_longitude,end_latitude,end_longitude,street_norm,geometry
635,Cicero,41.78432,-87.74159,41.77841,-87.742485,CICERO,"LINESTRING (438375.92783823545 4626095.809540941, 438296.08692589455 4625440.402733652)"
641,Cicero,41.87314,-87.74518,41.86591,-87.74494,CICERO,"LINESTRING (438163.4923529015 4635959.500387883, 438176.15349116735 4635156.729712995)"
645,Cicero,41.902344,-87.74617,41.89499,-87.745995,CICERO,"LINESTRING (438109.38498727884 4639202.815617494, 438116.83926007693 4638386.107928557)"
646,Cicero,41.90963,-87.74627,41.902344,-87.74617,CICERO,"LINESTRING (438108.1962175213 4640011.8456229, 438109.38498727884 4639202.815617494)"
647,Cicero,41.91693,-87.7463,41.90963,-87.74627,CICERO,"LINESTRING (438112.7191465904 4640822.52125854, 438108.1962175213 4640011.8456229)"
648,Cicero,41.924232,-87.74645,41.91693,-87.7463,CICERO,"LINESTRING (438107.1220123328 4641633.286016545, 438112.7191465904 4640822.52125854)"
649,Cicero,41.931534,-87.74677,41.924232,-87.74645,CICERO,"LINESTRING (438087.613091352 4642444.173013878, 438107.1220123328 4641633.286016545)"
650,Cicero,41.93882,-87.74706,41.931534,-87.74677,CICERO,"LINESTRING (438070.6263124046 4643253.344929628, 438087.613091352 4642444.173013878)"
653,Cicero,41.962257,-87.74776,41.953423,-87.74748,CICERO,"LINESTRING (438035.7766352458 4645856.086995114, 438049.98036087624 4644874.964583436)"
702,Dr Martin L King Jr,41.72919,-87.614555,41.72186,-87.61434,MARTIN L KING JR,"LINESTRING (448888.6470960257 4619891.758557659, 448900.60446986294 4619077.618639369)"
703,Dr Martin L King Jr,41.7365,-87.61468,41.72919,-87.614555,MARTIN L KING JR,"LINESTRING (448884.28988270427 4620703.304029512, 448888.6470960257 4619891.758557659)"
704,Dr Martin L King Jr,41.743813,-87.61493,41.7365,-87.61468,MARTIN L KING JR,"LINESTRING (448869.15436406987 4621515.35112712, 448884.28988270427 4620703.304029512)"
708,Dr Martin L King Jr,41.77295,-87.6156,41.765717,-87.61548,MARTIN L KING JR,"LINESTRING (448836.47730639885 4624750.644884169, 448840.8765099808 4623947.564708679)"
709,Dr Martin L King Jr,41.780186,-87.61582,41.77295,-87.6156,MARTIN L KING JR,"LINESTRING (448823.8419438663 4625554.208631248, 448836.47730639885 4624750.644884169)"
710,Dr Martin L King Jr,41.787518,-87.616005,41.780186,-87.61582,MARTIN L KING JR,"LINESTRING (448814.45715250727 4626368.338939476, 448823.8419438663 4625554.208631248)"
711,Dr Martin L King Jr,41.794678,-87.61616,41.787518,-87.616005,MARTIN L KING JR,"LINESTRING (448807.4755801092 4627163.393335685, 448814.45715250727 4626368.338939476)"
712,Dr Martin L King Jr,41.802113,-87.61634,41.794678,-87.61616,MARTIN L KING JR,"LINESTRING (448798.18105749274 4627988.961051479, 448807.4755801092 4627163.393335685)"
713,Dr Martin L King Jr,41.809387,-87.61676,41.802113,-87.61634,MARTIN L KING JR,"LINESTRING (448769.1175371462 4628796.882560437, 448798.18105749274 4627988.961051479)"
714,Dr Martin L King Jr,41.816635,-87.61697,41.809387,-87.61676,MARTIN L KING JR,"LINESTRING (448757.7840094472 4629601.713142066, 448769.1175371462 4628796.882560437)"
1277,Columbus,41.875774,-87.62069,41.86751,-87.6205,COLUMBUS,"LINESTRING (448496.0116265603 4636169.970052911, 448505.2071396344 4635252.479407339)"
84,Pulaski,41.89537,-87.72633,41.88547,-87.72606,PULASKI,"LINESTRING (439748.1600802326 4638414.467566521, 439761.6439343055 4637315.195924595)"
211,North,41.911057,-87.64827,41.910843,-87.66216,NORTH,"LINESTRING (446237.02438479336 4640104.177500871, 445084.6363655581 4640089.261179436)"
212,North,41.9113,-87.63315,41.911057,-87.64827,NORTH,"LINESTRING (447491.2988457321 4640121.916050417, 446237.02438479336 4640104.177500871)"
214,Roosevelt,41.865482,-87.76436,41.865578,-87.75456,ROOSEVELT,"LINESTRING (436564.29009194626 4635123.459546014, 437377.3907531417 4635126.855458099)"
227,Roosevelt,41.86708,-87.64219,41.867237,-87.63044,ROOSEVELT,"LINESTRING (446704.7708366683 4635217.858698349, 447679.9737985774 4635227.99600362)"
228,Roosevelt,41.867237,-87.63044,41.867367,-87.618965,ROOSEVELT,"LINESTRING (447679.9737985774 4635227.99600362, 448632.35653430084 4635235.466340844)"
230,Roosevelt,41.865852,-87.754555,41.865757,-87.76435,ROOSEVELT,"LINESTRING (437378.29197189154 4635157.344456656, 436565.1947915985 4635153.948479491)"
238,Roosevelt,41.86689,-87.67625,41.86675,-87.686035,ROOSEVELT,"LINESTRING (443878.15016153245 4635218.386805857, 443065.6698929161 4635209.161687943)"
239,Roosevelt,41.867,-87.66638,41.86689,-87.67625,ROOSEVELT,"LINESTRING (444696.93204009195 4635224.267124727, 443878.15016153245 4635218.386805857)"
240,Roosevelt,41.867134,-87.65668,41.867,-87.66638,ROOSEVELT,"LINESTRING (445502.4338698786 4635232.884435534, 444696.93204009195 4635224.267124727)"
